pose_id,clip,video_file,cvat_task,fold,n_annotated_frames,start_frame,stop_frame
1,pose1,pose1.mp4,task_14,1,382,0,381
2,pose2,pose2.mp4,task_15,2,570,0,569
3,pose3,pose3.mp4,task_16,3,3058,0,3057
4,pose4,pose4.mp4,task_17,4,558,0,557
5,pose5,pose5.mp4,task_0,5,494,0,493
6,Pose6,Pose6.mp4,task_44,2,323,0,322
7,Pose7,Pose7.mp4,task_45,3,298,0,297
8,Pose8,Pose8.mp4,task_26,4,376,0,375
9,Pose9,Pose9.mp4,task_27,5,380,0,379
10,Pose10,Pose10.mp4,task_28,1,333,0,332
11,Pose11,Pose11.mp4,task_29,2,169,0,168
12,Pose12,Pose12.mp4,task_30,3,294,0,293
13,Pose13,Pose13.mp4,task_31,1,406,0,405
14,Pose14,Pose14.mp4,task_32,2,227,0,226
15,Pose15,Pose15.mp4,task_33,3,83,0,82
16,Pose16,Pose16.mp4,task_34,4,200,0,199
17,Pose17,Pose17.mp4,task_35,5,144,0,143
18,Pose18,Pose18.mp4,task_36,5,818,0,817
19,Pose19,Pose19.mp4,task_37,1,333,0,332
20,Pose20,Pose20.mp4,task_38,2,190,0,189
21,Pose21,Pose21.mp4,task_39,3,169,0,168
22,Pose22,Pose22.mp4,task_40,4,363,0,362
23,Pose23,Pose23.mp4,task_41,4,340,0,339
24,Pose24,Pose24.mp4,task_42,5,607,0,606
25,Pose25,Pose25.mp4,task_43,1,300,0,299
